Quality;Description
(0.1635558627954441, 'UBG', 0.6184738955823293, 'UB', 0.45491803278688525);['deck_ShimmerdriftVale', 'deck_IceTunnel', 'deck_SnowCoveredIsland']
(0.1635558627954441, 'UBG', 0.6184738955823293, 'UB', 0.45491803278688525);['deck_IceTunnel', 'deck_ShimmerdriftVale', 'deck_SnowCoveredIsland']
(0.1635558627954441, 'UBG', 0.6184738955823293, 'UB', 0.45491803278688525);['deck_ShimmerdriftVale', 'deck_SnowCoveredIsland', 'deck_IceTunnel']
(0.1635558627954441, 'UBG', 0.6184738955823293, 'UB', 0.45491803278688525);['deck_SnowCoveredIsland', 'deck_ShimmerdriftVale', 'deck_IceTunnel']
(0.14419036845507438, 'UBG', 0.6105769230769231, 'UB', 0.46638655462184875);['deck_GrimDraugr', 'deck_AvalancheCaller']
(0.14419036845507438, 'UBG', 0.6105769230769231, 'UB', 0.46638655462184875);['deck_AvalancheCaller', 'deck_GrimDraugr']
(0.14242987757632108, 'UBG', 0.6276150627615062, 'UB', 0.48518518518518516);['deck_BergStrider', 'deck_IceTunnel', 'deck_BeholdtheMultiverse']
(0.14242987757632108, 'UBG', 0.6276150627615062, 'UB', 0.48518518518518516);['deck_IceTunnel', 'deck_BergStrider', 'deck_BeholdtheMultiverse']
(0.1398989898989899, 'UBG', 0.5944444444444444, 'UB', 0.45454545454545453);['deck_ShimmerdriftVale', 'deck_IceTunnel']
(0.1398989898989899, 'UBG', 0.5944444444444444, 'UB', 0.45454545454545453);['deck_IceTunnel', 'deck_ShimmerdriftVale']
(0.13793214628287692, 'UBG', 0.6012526096033403, 'UB', 0.46332046332046334);['deck_ShimmerdriftVale', 'deck_IceTunnel', 'deck_SnowCoveredSwamp']
(0.13793214628287692, 'UBG', 0.6012526096033403, 'UB', 0.46332046332046334);['deck_IceTunnel', 'deck_ShimmerdriftVale', 'deck_SnowCoveredSwamp']
(0.13751301179736297, 'UBG', 0.6107954545454546, 'UB', 0.4732824427480916);['deck_BergStrider', 'deck_IceTunnel', 'deck_Mistwalker']
(0.13751301179736297, 'UBG', 0.6107954545454546, 'UB', 0.4732824427480916);['deck_IceTunnel', 'deck_BergStrider', 'deck_Mistwalker']
(0.13586511303752424, 'UBG', 0.5916955017301038, 'UB', 0.4558303886925795);['deck_BergStrider', 'deck_BindtheMonster', 'deck_SnowCoveredIsland']
(0.13586511303752424, 'UBG', 0.5916955017301038, 'UB', 0.4558303886925795);['deck_BindtheMonster', 'deck_BergStrider', 'deck_SnowCoveredIsland']
(0.13335091420534456, 'UBG', 0.5763888888888888, 'UB', 0.4430379746835443);['deck_PriestoftheHauntedEdge', 'deck_BindtheMonster']
(0.13335091420534456, 'UBG', 0.5763888888888888, 'UB', 0.4430379746835443);['deck_BindtheMonster', 'deck_PriestoftheHauntedEdge']
(0.13183571590651244, 'UBG', 0.6061946902654868, 'UB', 0.47435897435897434);['deck_BergStrider', 'deck_RaisetheDraugr', 'deck_SnowCoveredIsland']
(0.13183571590651244, 'UBG', 0.6061946902654868, 'UB', 0.47435897435897434);['deck_RaisetheDraugr', 'deck_BergStrider', 'deck_SnowCoveredIsland']
(0.12893081761006286, 'UBG', 0.6666666666666666, 'UB', 0.5377358490566038);['deck_PoisontheCup', 'deck_SnowCoveredIsland', 'deck_PriestoftheHauntedEdge']
(0.12893081761006286, 'UBG', 0.6666666666666666, 'UB', 0.5377358490566038);['deck_SnowCoveredIsland', 'deck_PoisontheCup', 'deck_PriestoftheHauntedEdge']
(0.12893081761006286, 'UBG', 0.6666666666666666, 'UB', 0.5377358490566038);['deck_PoisontheCup', 'deck_PriestoftheHauntedEdge', 'deck_SnowCoveredIsland']
(0.12893081761006286, 'UBG', 0.6666666666666666, 'UB', 0.5377358490566038);['deck_PriestoftheHauntedEdge', 'deck_PoisontheCup', 'deck_SnowCoveredIsland']
(0.12837981690440703, 'URG', 0.680327868852459, 'RG', 0.551948051948052);['deck_GlitteringFrost', 'deck_BasaltRavager']
(0.12762224710712955, 'UBG', 0.5574468085106383, 'UB', 0.4298245614035088);['deck_ShimmerdriftVale', 'deck_NarfiBetrayerKing', 'deck_SnowCoveredSwamp']
(0.12762224710712955, 'UBG', 0.5574468085106383, 'UB', 0.4298245614035088);['deck_NarfiBetrayerKing', 'deck_ShimmerdriftVale', 'deck_SnowCoveredSwamp']
(0.12588318835434048, 'UBG', 0.5953488372093023, 'UB', 0.46946564885496184);['deck_BergStrider', 'deck_IcebindPillar', 'deck_SnowCoveredIsland']
(0.12588318835434048, 'UBG', 0.5953488372093023, 'UB', 0.46946564885496184);['deck_IcebindPillar', 'deck_BergStrider', 'deck_SnowCoveredIsland']
(0.12482796586842831, 'UBG', 0.6190476190476191, 'UB', 0.49421965317919075);['deck_BergStrider', 'deck_IceTunnel', 'deck_SnowCoveredIsland']
(0.12482796586842831, 'UBG', 0.6190476190476191, 'UB', 0.49421965317919075);['deck_IceTunnel', 'deck_BergStrider', 'deck_SnowCoveredIsland']
(0.12457243200068291, 'UBG', 0.6308068459657702, 'UB', 0.5062344139650873);['deck_PoisontheCup', 'deck_SnowCoveredIsland']
(0.12457243200068291, 'UBG', 0.6308068459657702, 'UB', 0.5062344139650873);['deck_SnowCoveredIsland', 'deck_PoisontheCup']
(0.12457025686361178, 'UBG', 0.5980551053484603, 'UB', 0.4734848484848485);['deck_ShimmerdriftVale', 'deck_PriestoftheHauntedEdge', 'deck_SnowCoveredIsland']
(0.12457025686361178, 'UBG', 0.5980551053484603, 'UB', 0.4734848484848485);['deck_PriestoftheHauntedEdge', 'deck_ShimmerdriftVale', 'deck_SnowCoveredIsland']
(0.12457025686361178, 'UBG', 0.5980551053484603, 'UB', 0.4734848484848485);['deck_ShimmerdriftVale', 'deck_SnowCoveredIsland', 'deck_PriestoftheHauntedEdge']
(0.12457025686361178, 'UBG', 0.5980551053484603, 'UB', 0.4734848484848485);['deck_SnowCoveredIsland', 'deck_ShimmerdriftVale', 'deck_PriestoftheHauntedEdge']
(0.12340076280596723, 'UBG', 0.6103896103896104, 'UB', 0.48698884758364314);['deck_BergStrider', 'deck_PriestoftheHauntedEdge', 'deck_Mistwalker']
(0.12340076280596723, 'UBG', 0.6103896103896104, 'UB', 0.48698884758364314);['deck_PriestoftheHauntedEdge', 'deck_BergStrider', 'deck_Mistwalker']
(0.12265549076773563, 'UBG', 0.6268221574344023, 'UB', 0.5041666666666667);['deck_BergStrider', 'deck_IceTunnel', 'deck_PriestoftheHauntedEdge']
